Name	Number	Ctf
Door	33	9
Easle	33	2
computer desk	33	13
Deck Box	33	12
lamp ctn	33	5
coat rack	33	7
Hutch - Small	33	10
Wine Rack	33	6
Raton Sofa	33	3
Wreath Box	33	2
Garden Hose	32	4
shelf-book on wall	32	2
Organ - Small	32	21
Cat Condo	32	7
Chair - Patio	32	5
Bird Cage	32	5
BENCH	32	8
Shelves - Plastic	32	4
JACUZZI: 65' & OVER	32	76
Rug - Small	32	1
yard art	32	6
quads	32	35
trampoline	31	18
Jack	31	7
Toolchest	31	43
SOFA 2 CUSHION	31	34
BBQ Grill - NO TANK	31	11
Bed - Single	31	31
Bicycle - Child	31	3
shoe racks	31	6
Rod	31	3
STROLLER	30	3
TV-Tray	30	1
Grandfather Clock	30	12
Weed Eater	30	4
Chair - Aluminum	30	1
plastic cabinet	30	2
Closet Items	30	0
Bookshelf, Small	30	5
Childs gate	30	2
TRASH CAN	30	1
garage cabinets	30	15
Candle Sticks	30	4
Rolling Cart	29	10
bed-headboard	29	10
Pedestal	29	5
Cabinet - Gun	29	16
Punching Bag	29	10
clothes rack	29	3
bench	29	7
TV - Stand - Large	29	10
MONITOR	29	2
Washing Machine w/ Peds	29	35
Bins - Plastic	29	6
shelving	29	5
Crutches	29	1
bags	29	4
Chair folding	28	2
Bike	28	5
Footboard	28	8
Dryer, Electric	28	25
Mower - Lawn (NO GAS)	28	10
Table - Drop / Sofa	28	10
Tote ctn	28	5
Basketball Goal	28	23
Sideboard	28	27
Air Bed	28	3
Rug - Large	28	9
Large cabinet	28	25
wood	27	11
Washer, Top Load	27	24
Ramps	27	4
Dresser - Vanity	27	18
Dryer - On Pedestal	27	35
Front Load Washer	27	34
Toolbox	27	3
Broom/Mop	27	2
Table- Folding	26	5
PBO's	26	4
Basketball Hoop	26	17
Murphy Bed	26	32
Tripod	26	1
PBO Not Moving. 1.5	26	0
CLOTHES HAMPER	26	1
Bag	26	3
Appliances - ALL	26	0
Picnic Cooler	26	2
.APPLIANCES STAY (MAJOR)	26	0
camping gear	26	6
Pack and Play	26	2
Bird Feeder	26	8
